topic,entity_recall,heading_soft_recall
Taylor Hawkins,1.0,0.9075844
"Lahaina, Hawaii",0.0,0.7970763
Silicon Valley Bank,0.0,0.8611331
OceanGate,0.3333333333333333,0.9175363
Threads (social network),0.5,0.78186727
