topic,ROUGE-1,ROUGE-L,Entity Recall
Taylor Hawkins,44.692737430167604,17.815021725636253,9.90990990990991
"Lahaina, Hawaii",37.644046094750315,14.532650448143405,6.802721088435375
Silicon Valley Bank,42.87268770402611,18.661588683351468,10.071942446043165
OceanGate,46.80252986647926,19.184820801124385,13.432835820895523
Threads (social network),53.25188645346748,22.27811713977722,22.448979591836736
