topic,entity_recall,heading_soft_recall
Taylor Hawkins,1.0,0.98539287
"Lahaina, Hawaii",0.0,0.9033797
Silicon Valley Bank,1.0,0.98426014
OceanGate,0.3333333333333333,0.9686167
Threads (social network),0.5,0.9636499
